ИНН;КПП;ОГРН;Наименование краткое;Наименование полное;Адрес юридический;Индекс;Регион (область);Район;Город / населённый пункт;E-mail;Телефоны;Сайт;Источник контактов;Должность руководителя;ФИО руководителя;Численность работников;Численность на дату;ОКВЭД;ОКВЭД наименование;Статус
0522010988;052201001;1040501302753;"МБОУ ""УЛЛУБИЙАУЛЬСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""УЛЛУБИЙАУЛЬСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368537, РЕСПУБЛИКА ДАГЕСТАН, Р-Н КАРАБУДАХКЕНТСКИЙ, С. УЛЛУБИЙАУЛ, УЛ. КАРАБУДАХКЕНТСКАЯ, Д.1;368537;РЕСПУБЛИКА ДАГЕСТАН;;С. УЛЛУБИЙАУЛ;;;;;Директор;Лабазанова Арисханум Адуковна;;;85.14;Образование среднее общее;действующая
0512011485;051201001;1030500865702;"МБОУ ""ХАЗАРСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ХАЗАРСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368612, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ДЕРБЕНТСКИЙ, С ХАЗАР, УЛ ШКОЛЬНАЯ, Д. 7;368612;РЕСПУБЛИКА ДАГЕСТАН;;С ХАЗАР;;;;;Директор;Надиров Суфиян Нажмудинович;;;85.14;Образование среднее общее;действующая
0511002840;051101001;1020500941900;"МБОУ ""ХУДУЦКАЯ ООШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ХУДУЦКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368577, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ДАХАДАЕВСКИЙ, С. ХУДУЦ;368577;РЕСПУБЛИКА ДАГЕСТАН;;С. ХУДУЦ;;;;;Директор;Гамзаев Омар Гамзаевич;;;85.13;Образование основное общее;действующая
0529010458;052901001;1020501589349;"МБОУ ""ЦМУРСКАЯ СОШ"" АДМИНИСТРАЦИИ МР ""СУЛЕЙМАН- СТАЛЬСКИЙ РАЙОН"" РЕСПУБЛИКИ ДАГЕСТАН";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦМУРСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" АДМИНИСТРАЦИИ МР ""СУЛЕЙМАН- СТАЛЬСКИЙ РАЙОН"" РЕСПУБЛИКИ ДАГЕСТАН";368771, РЕСПУБЛИКА ДАГЕСТАН, Р-Н СУЛЕЙМАН-СТАЛЬСКИЙ, С. ЦМУР;368771;РЕСПУБЛИКА ДАГЕСТАН;;С. ЦМУР;;;;;Директор;Кузьминский Евгений Валентинович;;;85.14;Образование среднее общее;действующая
0503005460;050301001;1020500561487;"МБОУ ""ЦОЛОДИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦОЛОДИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368997, РЕСПУБЛИКА ДАГЕСТАН, Р-Н АХВАХСКИЙ, С. ЦОЛОДА, УЛ. ЦОЛОДИНСКАЯ, Д. 88Б;368997;РЕСПУБЛИКА ДАГЕСТАН;;С. ЦОЛОДА;;;;;Временно исполняющий обязанности директора;Газиханов Дибиргаджи Джахбарович;;;85.14;Образование среднее общее;действующая
0512011580;051201001;1020500866100;"МБОУ ""ЧИНАРСКАЯ СОШ №1""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ "" ЧИНАРСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №1""";368622, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ДЕРБЕНТСКИЙ, С. ЧИНАР, УЛ. ЛЕНИНА, Д. 3;368622;РЕСПУБЛИКА ДАГЕСТАН;;С. ЧИНАР;;;;;Директор;Гусаева Умижат Магомедовна;;;85.14;Образование среднее общее;действующая
0512027090;051201001;1030500865966;"МБОУ ""ШКОЛА-САД ИМЕНИ КУРБАНОВА СЕИДА ДЖАМАЛОВИЧА"" СЕЛА НИЖНИЙ ДЖАЛГАН";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШКОЛА-САД ИМЕНИ КУРБАНОВА СЕИДА ДЖАМАЛОВИЧА"" СЕЛА НИЖНИЙ ДЖАЛГАН";368612, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ДЕРБЕНТСКИЙ, С. НИЖНИЙ ДЖАЛГАН, УЛ. ГОГОЛЯ, Д. 27;368612;РЕСПУБЛИКА ДАГЕСТАН;;С. НИЖНИЙ ДЖАЛГАН;;;;;Директор;Агаева Замира Сеидкафлановна;;;85.12;Образование начальное общее;действующая
0512011534;051201001;1020500866154;"МБОУ""КАЛИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КАЛИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368621, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ДЕРБЕНТСКИЙ, С КАЛА;368621;РЕСПУБЛИКА ДАГЕСТАН;;С КАЛА;;;;;Директор;Зухрабов Кафлан Шахнавазович;;;85.14;Образование среднее общее;действующая
0536006325;053601001;1030501837277;"МКОО ""НАКИТЛИНСКАЯ НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА- САД""";"МУНИЦИПАЛЬНАЯ КАЗЕННАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""НАКИТЛИНСКАЯ НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА- САД""";368260, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ХУНЗАХСКИЙ, С. НАКИТЛЬ, УЛ. МАГОМЕДА ОМАРОВА, Д. 1;368260;РЕСПУБЛИКА ДАГЕСТАН;;С. НАКИТЛЬ;;;;;Руководитель;Абасова Марьям Ахмедовна;;;85.12;Образование начальное общее;действующая
0536015048;053601001;1160571063290;"МКОО ""ЦАДИНСКАЯ ООШ""";"МУНИЦИПАЛЬНАЯ КАЗЕННАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""ЦАДИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ИМЕНИ ГАДЖИ ГАМЗАТОВИЧА ГАМЗАТОВА";368260, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ХУНЗАХСКИЙ, С. ЦАДА, УЛ. РАСУЛА ГАМЗАТОВА, Д. 6;368260;РЕСПУБЛИКА ДАГЕСТАН;;С. ЦАДА;;;;;Руководитель;Алибегов Сайгидгусейн Магомедович;;;85.13;Образование основное общее;действующая
0529010377;052901001;1020501588140;"МКОУ ""БУТКЕНТСКАЯ НОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БУТКЕНТСКАЯ НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368760, РЕСПУБЛИКА ДАГЕСТАН, М.Р-Н СУЛЕЙМАН-СТАЛЬСКИЙ, С.П. СЕЛЬСОВЕТ ШИХИКЕНТСКИЙ, С. БУТКЕНТ, УЛ. ШОССЕЙНАЯ, Д. 26;368760;РЕСПУБЛИКА ДАГЕСТАН;;С.П. СЕЛЬСОВЕТ ШИХИКЕНТСКИЙ;;;;;Директор;Мехтиханов Эрзихан Эскендарович;;;85.12;Образование начальное общее;действующая
0538002439;053801001;1020501712110;"МКОУ ""ВИЦИЯТЛИНСКАЯ НОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ВИЦИЯТЛИНСКАЯ НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368417, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ЦУНТИНСКИЙ, С. ВИЦИЯТЛЬ, -;368417;РЕСПУБЛИКА ДАГЕСТАН;;С. ВИЦИЯТЛЬ;;;;;Директор;Нажмудинов Нухидин Магомедович;;;85.12;Образование начальное общее;действующая
0538001844;053801001;1020501711526;"МКОУ ""МЕКАЛИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МЕКАЛИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368417, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ЦУНТИНСКИЙ, С. ТЛЯЦУДА, УЛ. МАХАМАЧИЕВА, Д. 2;368417;РЕСПУБЛИКА ДАГЕСТАН;;С. ТЛЯЦУДА;;;;;Директор;Магомедов Рамазан Набиевич;;;85.14;Образование среднее общее;действующая
0528011233;052801001;1100536000421;"МКОУ ""НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ""РАДОСТЬ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ""РАДОСТЬ""";368432, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ШАМИЛЬСКИЙ, С. КУАНИБ;368432;РЕСПУБЛИКА ДАГЕСТАН;;С. КУАНИБ;;;;;Заведующая;Камилова Хадижат Магомедовна;;;85.12;Образование начальное общее;действующая
0516008123;051601001;1020502236105;"МКОУ ""НЕЧАЕВСКАЯ СОШ №2""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НЕЧАЕВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2""";368109, РЕСПУБЛИКА ДАГЕСТАН, Р-Н КИЗИЛЮРТОВСКИЙ, С. НЕЧАЕВКА;368109;РЕСПУБЛИКА ДАГЕСТАН;;С. НЕЧАЕВКА;;;;;Директор;Абдухаликов Мурад Абдухаликович;;;85.14;Образование среднее общее;действующая
0521008432;052101001;1030501263121;"МКОУ ""НИЖНЕ-ЧУГЛИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НИЖНЕ- ЧУГЛИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368320, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ЛЕВАШИНСКИЙ, С НИЖНЕЕ ЧУГЛИ, УЛ САИДА АФАНДИ, Д. 267;368320;РЕСПУБЛИКА ДАГЕСТАН;;С НИЖНЕЕ ЧУГЛИ;;;;;Директор;Хайбулаев Мурад Магомедович;;;85.14;Образование среднее общее;действующая
0516009261;051601001;1060546001724;"МКОУ ""НОВОЗУБУТЛИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НОВОЗУБУТЛИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368115, РЕСПУБЛИКА ДАГЕСТАН, Р-Н КИЗИЛЮРТОВСКИЙ, С. ЗУБУТЛИ-МИАТЛИ;368115;РЕСПУБЛИКА ДАГЕСТАН;;С. ЗУБУТЛИ-МИАТЛИ;;;;;Директор;Гусейнов Махач Мухуевич;;;85.14;Образование среднее общее;действующая
0521008425;052101001;1030501263132;"МКОУ ""ТАШКАПУРСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ТАШКАПУРСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368326, РЕСПУБЛИКА ДАГЕСТАН, М.Р-Н ЛЕВАШИНСКИЙ, С.П. СЕЛЬСОВЕТ ХАДЖАЛМАХИНСКИЙ, С ТАШКАПУР, УЛ ШКОЛЬНАЯ, ВЛД. 4;368326;РЕСПУБЛИКА ДАГЕСТАН;;С.П. СЕЛЬСОВЕТ ХАДЖАЛМАХИНСКИЙ;;;;;Директор;Рабаданов Абдулла Гамзатович;;;85.14;Образование среднее общее;действующая
0520002163;052001001;1070521000351;"МКОУ ""ХУРХИНСКАЯ СОШ"" ЛАКСКОГО РАЙОНА РД";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ХУРХИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" МУНИЦИПАЛЬНОГО РАЙОНА ""ЛАКСКИЙ РАЙОН"" РЕСПУБЛИКИ ДАГЕСТАН";368364, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ЛАКСКИЙ, С. ХУРХИ;368364;РЕСПУБЛИКА ДАГЕСТАН;;С. ХУРХИ;;;;;Директор;Лугуев Геёрги Максудович;;;85.14;Образование среднее общее;действующая
0502004930;050201001;1020501262946;"МКОУ ""ЦУНИМАХИНСКАЯ ООШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦУНИМАХИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368288, РЕСПУБЛИКА ДАГЕСТАН, Р-Н АКУШИНСКИЙ, С. ЦУНИМАХИ, УЛ. ЦУНИМАХИНСКИЙ, Д. 5;368288;РЕСПУБЛИКА ДАГЕСТАН;;С. ЦУНИМАХИ;;;;;Временно исполняющий обязанности директора;Магомедов Муса Идрисович;;;85.13;Образование основное общее;действующая
0523004257;052301001;1020501386267;"МКОУ "" АЗАДОГЛЫНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЗАДОГЛЫНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368795, РЕСПУБЛИКА ДАГЕСТАН, Р-Н МАГАРАМКЕНТСКИЙ, С АЗАДОГЛЫ, УЛ ШЕКИХАНА КЕРИМОВА, Д. 6;368795;РЕСПУБЛИКА ДАГЕСТАН;;С АЗАДОГЛЫ;;;;;Директор;Велиханов Нажмудин Гаджиевич;;;85.14;Образование среднее общее;действующая
0521009676;052101001;1100521000360;"МКОУ "" НОШ С.ИРГАЛИ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ИРГАЛИНСКАЯ НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" МР ""ЛЕВАШИНСКИЙ РАЙОН РЕСПУБЛИКИ ДАГЕСТАН";368327, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ЛЕВАШИНСКИЙ, С. ИРГАЛИ;368327;РЕСПУБЛИКА ДАГЕСТАН;;С. ИРГАЛИ;;;;;Председатель ликвидационной комиссии;Газимагомедов Магомед Гамзатович;;;85.12;Образование начальное общее;действующая
0537004828;053701001;1080506000530;"МКОУ "" ХВАЙНИНСКАЯ НОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ХВАЙНИНСКАЯ НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368907, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ЦУМАДИНСКИЙ, С. ХВАЙНИ;368907;РЕСПУБЛИКА ДАГЕСТАН;;С. ХВАЙНИ;;;;;Заведуюший школы;Абдуразаков Али Силахудинович;;;85.11;Образование дошкольное;действующая
0506005959;050601001;1040500682661;"МКОУ """"РУШУХОВСКАЯ НОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""РУШУХОВСКАЯ НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" МУНИЦИПАЛЬНОГО РАЙОНА ""БОТЛИХСКИЙ РАЙОН""";368971, РЕСПУБЛИКА ДАГЕСТАН, Р-Н БОТЛИХСКИЙ, С. РУШУХА;368971;РЕСПУБЛИКА ДАГЕСТАН;;С. РУШУХА;;;;;Ликвидатор;Измаилов Гаджииса Магомедович;;;85.13;Образование основное общее;действующая
0518001606;051801001;1060521002618;"МКОУ ""1-ЦОВКРИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""1-ЦОВКРИНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368390, РЕСПУБЛИКА ДАГЕСТАН, Р-Н КУЛИНСКИЙ, С. ЦОВКРА-1;368390;РЕСПУБЛИКА ДАГЕСТАН;;С. ЦОВКРА-1;;;;;И.о. директора;Гусейнова Фируза Магомедовна;;;85.13;Образование основное общее;действующая
0518001564;051801001;1060521002519;"МКОУ ""2-ЦОВКРИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ МАГРАМОВА В.М.""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""2-ЦОВКРИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ МАГРАМОВА В.М.""";368390, РЕСПУБЛИКА ДАГЕСТАН, Р-Н КУЛИНСКИЙ, С. ЦОВКРА-2, УЛ. ЭФЕНДИ КАПИЕВА, Д. 1;368390;РЕСПУБЛИКА ДАГЕСТАН;;С. ЦОВКРА-2;;;;;И.о.директора;Магомедов Шараб Магарамович;;;85.14;Образование среднее общее;действующая
0531004902;053101001;1020502387124;"МКОУ ""А-НЕВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЛЕКСАНДРО- НЕВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ТАРУМОВСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН";368873, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ТАРУМОВСКИЙ, С. АЛЕКСАНДРО-НЕВСКОЕ, УЛ. ШКОЛЬНАЯ, Д. 18;368873;РЕСПУБЛИКА ДАГЕСТАН;;С. АЛЕКСАНДРО-НЕВСКОЕ;;;;;Директор;Маллаева Мадина Курбаналиевна;;;85.14;Образование среднее общее;действующая
0553212350;055301001;1060523001747;"МКОУ ""АВАДАНСКАЯ СОШ ИМ. А.Т. ГАСАНОВА""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АВАДАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ А.Т. ГАСАНОВА""";368759, РЕСПУБЛИКА ДАГЕСТАН, М.Р-Н ДОКУЗПАРИНСКИЙ, С.П. СЕЛО АВАДАН, С. АВАДАН, УЛ. ПРОЛЕТАРСКАЯ, ЗД. 9;368759;РЕСПУБЛИКА ДАГЕСТАН;;С.П. СЕЛО АВАДАН;;;;;Временно исполняющий обязанности директора;Махмудов Мадрид Гаджиевич;;;85.14;Образование среднее общее;действующая
0510008293;051001001;1050533001090;"МКОУ ""АГАДИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АГАДИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368346, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ГУНИБСКИЙ, С. ТЛОГОБ;368346;РЕСПУБЛИКА ДАГЕСТАН;;С. ТЛОГОБ;;;;;Директор;Дибирмагомедов Шамиль Магомедович;;;85.14;Образование среднее общее;действующая
0537003824;053701001;1020500561212;"МКОУ ""АГВАЛИНСКАЯ ГИМНАЗИЯ ИМЕНИ КАДИ АБАКАРОВА""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АГВАЛИНСКАЯ ГИМНАЗИЯ ИМЕНИ КАДИ АБАКАРОВА""";368900, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ЦУМАДИНСКИЙ, С. АГВАЛИ, УЛ. САБИГУЛАЕВА, Д. 30;368900;РЕСПУБЛИКА ДАГЕСТАН;;С. АГВАЛИ;;;;;Директор;Вахидов Муслим Магомедович;;;85.14;Образование среднее общее;действующая
0552002511;055201001;1020500715245;"МКОУ ""АДЖИДАДИНСКАЯ СОШ"" ИМЕНИ АДЖАМАТОВА БАГАУТДИНА АРСЛАНАЛИЕВИЧА";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АДЖИДАДИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" ИМЕНИ АДЖАМАТОВА БАГАУТДИНА АРСЛАНАЛИЕВИЧА";368083, РЕСПУБЛИКА ДАГЕСТАН, Р-Н КУМТОРКАЛИНСКИЙ, С. АДЖИДАДА;368083;РЕСПУБЛИКА ДАГЕСТАН;;С. АДЖИДАДА;;;;;Директор;Алиева Назлыханым Абдулатиповна;;;85.14;Образование среднее общее;действующая
0534029888;053401001;1020501766141;"МКОУ ""АДЖИМАЖАГАТЮРТОВСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АДЖИМАЖАГАТЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368030, РЕСПУБЛИКА ДАГЕСТАН, М.Р-Н ХАСАВЮРТОВСКИЙ, С.П. СЕЛО АДЖИМАЖАГАТЮРТ, С. АДЖИМАЖАГАТЮРТ, УЛ. ШКОЛЬНАЯ, ЗД. 7;368030;РЕСПУБЛИКА ДАГЕСТАН;;С.П. СЕЛО АДЖИМАЖАГАТЮРТ;;;;;Директор;Адильгереев Аббас Ильясович;;;85.14;Образование среднее общее;действующая
0534029895;053401001;1020501766306;"МКОУ ""АДИЛЬОТАРСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АДИЛЬОТАРСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";368038, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ХАСАВЮРТОВСКИЙ, С. АДИЛЬОТАР, УЛ. АБДУЛХАКИМА ГУСЕЙНОВА, ЗД. 2;368038;РЕСПУБЛИКА ДАГЕСТАН;;С. АДИЛЬОТАР;;;;;Директор;Саитаджиева Мадинат Ярашевна;;;85.14;Образование среднее общее;действующая
0508008835;050801001;1030500816862;"МКОУ ""АЙМАКИНСКАЯ СОШ ИМ.ШАМИЛЯ Л.З.""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИИ МР ""ГЕРГЕБИЛЬСКИЙ РАЙОН"" ""АЙМАКИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМ. ШАМИЛЯ ЛАБАЗАНОВИЧА ЗУБАИРОВА""";368257, РЕСПУБЛИКА ДАГЕСТАН, Р-Н ГЕРГЕБИЛЬСКИЙ, С. АЙМАКИ, УЛ. УМАЛГОХ, Д. 2;368257;РЕСПУБЛИКА ДАГЕСТАН;;С. АЙМАКИ;;;;;Директор;Гитинова Абидат Баталовна;;;85.14;Образование среднее общее;действующая
0527002853;052701001;1020502334940;"МКОУ ""АЙМАУМАХИНСКАЯ СОШ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АЙМАУМАХИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" СЕРГОКАЛИНСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН";368515, РЕСПУБЛИКА ДАГЕСТАН, М.Р-Н СЕРГОКАЛИНСКИЙ, С.П. СЕЛЬСОВЕТ АЙМАУМАХИНСКИЙ, С. АЙМАУМАХИ, УЛ. АЙМАУМАХИНСКАЯ, ЗД. 14;368515;РЕСПУБЛИКА ДАГЕСТАН;;С.П. СЕЛЬСОВЕТ АЙМАУМАХИНСКИЙ;;;;;Директор;Гамидова Гулжанат Сулеймановна;;;85.14;Образование среднее общее;действующая
