ИНН;КПП;ОГРН;Наименование краткое;Наименование полное;Адрес юридический;Индекс;Регион (область);Район;Город;Населённый пункт;E-mail;Телефоны;Сайт;Должность руководителя;ФИО руководителя;Численность работников;Численность на дату;ОКВЭД;ОКВЭД наименование;Статус
0277040726;027701001;1030204441409;МАОУ ШКОЛА № 125;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 125  ГОРОДСКОГО ОКРУГА ГОРОД  УФА  РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Старикова Маргарита Геннадьевна;;;;;
0276073937;027601001;1020202870050;МАОУ ШКОЛА № 127 ИМЕНИ ЯКОВЛЕВА А. А.;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 127 ИМЕНИ ЯКОВЛЕВА АЛЕКСЕЯ АЛЕКСАНДРОВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Хафизов Хайдар Ренадович;;;;;
0277047016;027701001;1030204437944;МАОУ ШКОЛА № 129 ИМ. С.И. ЗОРИНА;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 129 ИМЕНИ ЗОРИНА СЕРГЕЯ ИВАНОВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Чугаева Олеся Алексеевна;;;;;
0276041438;027601001;1030204204140;МАОУ ШКОЛА № 130;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 130 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Насырова Римма Салаватовна;;;;;
0273019770;027301001;1030203723703;МАОУ ШКОЛА № 131;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 131 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Чернова Алевтина Алексеевна;;;;;
0272006859;027201001;1020202362322;МАОУ ШКОЛА № 132;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 132 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Исполняющий обязанности директора;Вильман Станислав Викторович;;;;;
0273028502;027301001;1020202399315;МАОУ ШКОЛА № 137;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 137 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Алескерова Танзиля Алексеевна;;;;;
0276046429;027601001;1030204203523;МАОУ ШКОЛА № 141;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 141 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Бажина Ирина Вячеславовна;;;;;
0277045876;027701001;1030204435029;МАОУ ШКОЛА № 145;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 145 ГОРОДСКОГО ОКРУГА ГОРОД  УФА  РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Исполняющий обязанности директора;Разяпова Гузель Данисовна;;;;;
0276042456;027601001;1030204203468;МАОУ ШКОЛА № 147 ИМ. В.А. ТОМАРОВА;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 147 ИМЕНИ ТОМАРОВА ВАСИЛИЯ АЛЕКСАНДРОВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Силина Наталья Михайловна;;;;;
0277064660;027701001;1040204444587;МАОУ ШКОЛА № 156;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 156 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Тойкеева Галина Николаевна;;;;;
0273056980;027301001;1050203782342;МАОУ ШКОЛА № 157 ИМ.С.Х.СУФЬЯНОВА;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 157 ИМЕНИ СУФЬЯНОВА СУФИЯ ХАЗИЕВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Ракаева Лилия Рифовна;;;;;
0274066109;027401001;1030203913035;МАОУ ШКОЛА № 22;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 22 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Сафиуллина Азалия Батыровна;;;;;
0274066194;027401001;1030203903619;МАОУ ШКОЛА № 34;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 34 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Шамсутдинова Лейсан Ильгизовна;;;;;
0277025608;027701001;1030204440628;МАОУ ШКОЛА № 36;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 36  ГОРОДСКОГО ОКРУГА ГОРОД  УФА  РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Исполняющий обязанности директора;Саетгалиева Рената Ильдусовна;;;;;
0276033557;027601001;1030204208528;МАОУ ШКОЛА № 37 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА НЕДОШИВИНА ВЕНИАМИНА ГЕОРГИЕВИЧА;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 37 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА НЕДОШИВИНА ВЕНИАМИНА ГЕОРГИЕВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;директор;Андреева Татьяна Александровна;;;;;
0276036607;027601001;1030204208572;МАОУ ШКОЛА № 38 ИМЕНИ Г.В. КОРОЛЕВОЙ;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 38 ИМЕНИ КОРОЛЕВОЙ ГУЛИ ВЛАДИМИРОВНЫ ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Николайчук Елена Анатольевна;;;;;
0274037179;027401001;1020202553755;МАОУ ШКОЛА № 41;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 41 ИМЕНИ БАБУШКИНА РОМАНА РОМАНОВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Сафуанова Зульфия Аглямовна;;;;;
0276016520;027601001;1030204208616;МАОУ ШКОЛА № 49;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 49 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Газизова Светлана Хатмулловна;;;;;
0273029129;027301001;1020202397071;МАОУ ШКОЛА № 56 ИМ. Г.С. ОВЧИННИКОВА.;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 56 ИМЕНИ ОВЧИННИКОВА ГРИГОРИЯ СЕМЕНОВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Соколова Оксана Константиновна;;;;;
0277044287;027701001;1030204438296;МАОУ ШКОЛА № 61;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 61 ГОРОДСКОГО ОКРУГА ГОРОД  УФА  РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Воробьева Елена Алфировна;;;;;
0273020790;027301001;1020202396345;МАОУ ШКОЛА № 70 ИМ. Г.М. ПОДДЕНЕЖНОГО.;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 70 ИМЕНИ ПОДДЕНЕЖНОГО ГРИГОРИЯ МАКСИМОВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ  БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Милейко Екатерина Анатольевна;;;;;
0277041021;027701001;1030204435480;МАОУ ШКОЛА № 71;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 71 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Алексеева Ольга Сергеевна;;;;;
0273021433;027301001;1030203722670;МАОУ ШКОЛА № 75;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 75 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;директор;Гусев Евгений Борисович;;;;;
0273029288;027301001;1030203726046;МАОУ ШКОЛА № 78 ИМ. ГЕРОЯ РФ САФРОНОВА А.А.;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 78 ИМЕНИ ГЕРОЯ РОССИЙСКОЙ ФЕДЕРАЦИИ САФРОНОВА АНАТОЛИЯ АЛЕКСАНДРОВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Ращепкина Жанна Анатольевна;;;;;
0277043950;027701001;1020203081326;МАОУ ШКОЛА № 79;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 79 ГОРОДСКОГО ОКРУГА ГОРОД  УФА  РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Рамазанова Зульфия Фралисовна;;;;;
0277040733;027701001;1030204441992;МАОУ ШКОЛА № 80 ИМЕНИ А.М. МАТРОСОВА;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 80 ИМЕНИ МАТРОСОВА АЛЕКСАНДРА МАТВЕЕВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Ильина Ольга Борисовна;;;;;
0277041222;027701001;1030204436646;МАОУ ШКОЛА № 85;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 85 ГОРОДСКОГО ОКРУГА ГОРОД  УФА  РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Исхакова Елена Владимировна;;;;;
0273024931;027301001;1020202395036;МАОУ ШКОЛА № 87;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 87 ГОРОДСКОГО ОКРУГА ГОРОД  УФА  РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Камышлова Екатерина Петровна;;;;;
0276036621;027601001;1030204208209;МАОУ ШКОЛА № 88;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 88 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Ануфриева Ольга Викторовна;;;;;
0274068843;027401001;1030203904807;МАОУ ШКОЛА № 9;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 9 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Исполняющий обязанности директора;Барскова Марта Владимировна;;;;;
0276040184;027601001;1030204203248;МАОУ ШКОЛА № 97 ИМЕНИ Г.А. АХМЕРОВА;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 97 ИМЕНИ АХМЕРОВА ГАБИТА АБДУЛЛОВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Агишева Надежда Николаевна;;;;;
0277045153;027701001;1020203092711;МАОУ ШКОЛА № 98 ИМ. Н.Ф. ОБУХОВА;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 98 ИМЕНИ ОБУХОВА НИКОЛАЯ ФЕОКТИСТОВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Харисова Татьяна Евгеньевна;;;;;
0277041134;027701001;1020203093602;МАОУ ШКОЛА № 99;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 99 ГОРОДСКОГО ОКРУГА ГОРОД  УФА  РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Гараева Эльвира Хамзиновна;;;;;
0278035983;027801001;1030204613053;МАОУ ШКОЛА №108;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА №108 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Абуляев Рафик Рашитович;;;;;
0274058556;027401001;1030203894203;МАОУ ШКОЛА №126;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 126 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Исполняющий обязанности директора;Якупова Лилия Валерьевна;;;;;
0275012995;027501001;1020202770565;МАОУ ШКОЛА №128;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА №128 ИМЕНИ ПОПОВА НИКОЛАЯ ИЛЬИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Малышева Юлия Владимировна;;;;;
0274037370;027401001;1030203898340;МАОУ ШКОЛА №18;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 18 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Ихсанова Лилия Вилюровна;;;;;
0278037613;027801001;1030204596685;МАОУ ШКОЛА №23;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 23 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Хажин Альберт Фаритович;;;;;
0275012106;027501001;1020202769696;МАОУ ШКОЛА №24;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА №24 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Силантьева Светлана Геннадьевна;;;;;
0275012410;027501001;1020202774470;МАОУ ШКОЛА №4;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 4 ИМЕНИ СЕРГЕЕВА ДМИТРИЯ СТЕПАНОВИЧА ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Нугаманов Иштуган Раисович;;;;;
0273020817;027301001;1020202396389;МАОУ ШКОЛА №55;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА №55 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКА БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Михайлов Антон Михайлович;;;;;
0278037853;027801001;1030204583023;МАОУ ШКОЛА №7;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 7 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Елкибаева Ильзира Айратовна;;;;;
0255006739;025501001;1020201579353;МАОУ ШКОЛА-ИНТЕРНАТ Г. БЕЛЕБЕЯ;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА-ИНТЕРНАТ ОСНОВНОГО ОБЩЕГО ОБРАЗОВАНИЯ Г. БЕЛЕБЕЯ МУНИЦИПАЛЬНОГО РАЙОНА БЕЛЕБЕЕВСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Салихова Рима Каррамовна;;;;;
0269011418;026901001;1020202215000;МАОУ ШКОЛА-ИНТЕРНАТ №1 Г. ТУЙМАЗЫ;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ №1 Г. ТУЙМАЗЫ МУНИЦИПАЛЬНОГО РАЙОНА ТУЙМАЗИНСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН;;;Республика Башкортостан;;;;;;;Директор;Ахметов Салават Гайсинович;;;;;
0208002744;020801001;1020200625830;"МАУ ДО ""ДЕТСКАЯ ШКОЛА ИСКУССТВ""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ"" МУНИЦИПАЛЬНОГО РАЙОНА БАЛТАЧЕВСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН";;;Республика Башкортостан;;;;;;;Директор;Рахимзянова Гульназ Лябиповна;;;;;
0205004670;020501001;1020201254920;"МАУ ДО ""ДМШ ИМ Б.ГАЙСИНА""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА ИМЕНИ Б.М.ГАЙСИНА"" МУНИЦИПАЛЬНОГО РАЙОНА АУРГАЗИНСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН";;;Республика Башкортостан;;;;;;;Временно исполняющий обязанности директора;Муллагулова Залия Хамитовна;;;;;
0268013162;026801001;1020202084583;"МАУ ДО ""ДМШ №1""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА №1"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;Республика Башкортостан;;;;;;;Директор;Мамонтова Ирина Ивановна;;;;;
0269012355;026901001;1020202212194;"МАУ ДО ""ДМШ"" С. СЕРАФИМОВСКИЙ";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА"" С. СЕРАФИМОВСКИЙ МУНИЦИПАЛЬНОГО РАЙОНА ТУЙМАЗИНСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН";;;Республика Башкортостан;;;;;;;Директор;Муратшина Гузель Мизхатовна;;;;;
0269012362;026901001;1020202212250;"МАУ ДО ""ДМШ"" С.КАНДРЫ";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА"" С.КАНДРЫ МУНИЦИПАЛЬНОГО РАЙОНА ТУЙМАЗИНСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН";;;Республика Башкортостан;;;;;;;Директор;Кузьмина Светлана Валерьевна;;;;;
0268013204;026801001;1020202084407;"МАУ ДО ""ДХШ №1"" ГО Г.СТЕРЛИТАМАК РБ";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ ХУДОЖЕСТВЕННАЯ ШКОЛА №1"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;Республика Башкортостан;;;;;;;Директор;Курбатов Владимир Александрович;;;;;
0265012844;026501001;1020201931089;"МАУ ДО ""ДХШ""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ ХУДОЖЕСТВЕННАЯ ШКОЛА"" ГОРОДСКОГО ОКРУГА ГОРОД ОКТЯБРЬСКИЙ РЕСПУБЛИКИ БАШКОРТОСТАН";;;Республика Башкортостан;;;;;;;Директор;Ахметов Дамир Газизович;;;;;
0216004047;021601001;1020200716800;"МАУ ДО ""ДШИ МР БУЗДЯКСКИЙ РАЙОН РБ""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ МУНИЦИПАЛЬНОГО РАЙОНА БУЗДЯКСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН""";;;Республика Башкортостан;;;;;;;Директор;Каримова Альфия Юсупжановна;;;;;
0231004080;023101001;1020201012831;"МАУ ДО ""ДШИ С.КУЯНОВО"" МУНИЦИПАЛЬНОГО РАЙОНА КРАСНОКАМСКИЙ РАЙОН РБ";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ СЕЛА КУЯНОВО"" МУНИЦИПАЛЬНОГО РАЙОНА КРАСНОКАМСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН";;;Республика Башкортостан;;;;;;;Директор;Хайбрахманова Лилия Даниловна;;;;;
0268013170;026801001;1020202084308;"МАУ ДО ""ДШИ""";"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН";;;Республика Башкортостан;;;;;;;Директор;Ариткулова Виктория Павловна;;;;;
